airbnb_id,link,building,bedrooms,revenue,occupancy,days_available,adr
1111400458538784060,https://www.airbnb.ae/rooms/1111400458538784060?_set_bev_on_new_domain=1758068560_EAMTE0YzhlYzljND&source_impression_id=p3_1758911412_P3kJDvA1ZHrsix3Y,Seven Palm Jumeirah,2,203700.0,0.79,296,866.6
1066399828336704016,https://www.airbnb.ae/rooms/1066399828336704016?_set_bev_on_new_domain=1758068560_EAMTE0YzhlYzljND&source_impression_id=p3_1758911479_P3RTXDZRN5NLt680,Seven Palm Jumeirah,3,390400.0,0.87,365,1200.0
1111413113565263079,https://www.airbnb.ae/rooms/1111413113565263079?_set_bev_on_new_domain=1758068560_EAMTE0YzhlYzljND&source_impression_id=p3_1758911748_P3HCI5kos28XYLgM,Fairmont Palm Residences,2,341100.0,0.63,331,1600.0
52835157,https://www.airbnb.ae/rooms/52835157?_set_bev_on_new_domain=1758068560_EAMTE0YzhlYzljND&source_impression_id=p3_1758911751_P3wZIfksArlrCLbb,Fairmont Palm Residences,2,340100.0,0.86,365,1100.0
759714371990411247,https://www.airbnb.ae/rooms/759714371990411247?_set_bev_on_new_domain=1758068560_EAMTE0YzhlYzljND&source_impression_id=p3_1758911755_P3xFYh_z4ibBxOE7,Fairmont Palm Residences,2,312800.0,0.81,365,1100.0
1264987499337917341,https://www.airbnb.ae/rooms/1264987499337917341?_set_bev_on_new_domain=1758068560_EAMTE0YzhlYzljND&source_impression_id=p3_1758911759_P3WywU2jUqfvkvv2,Fairmont Palm Residences,2,226200.0,0.91,323,772.0
1227978165322399503,https://www.airbnb.ae/rooms/1227978165322399503?_set_bev_on_new_domain=1758068560_EAMTE0YzhlYzljND&source_impression_id=p3_1758912147_P3X6lTIXAi5Ap3wf,Five Palm Jumeirah,2,229600.0,0.64,272,1300.0
917414208875417180,https://www.airbnb.ae/rooms/917414208875417180?_set_bev_on_new_domain=1758068560_EAMTE0YzhlYzljND&source_impression_id=p3_1758912158_P3xUisat1r_fZLB5,Five Palm Jumeirah,1,241600.0,0.71,302,1100.0
1269303613994223909,https://www.airbnb.ae/rooms/1269303613994223909?_set_bev_on_new_domain=1758068560_EAMTE0YzhlYzljND&source_impression_id=p3_1758912166_P3UmhDmLFYP8btx9,Five Palm Jumeirah,1,254800.0,0.85,301,995.4
871463965921258560,https://www.airbnb.ae/rooms/871463965921258560?_set_bev_on_new_domain=1758068560_EAMTE0YzhlYzljND&source_impression_id=p3_1758912174_P3CpfQrgE67gjamX,Five Palm Jumeirah,1,285000.0,0.69,338,1200.0
1115104725532931570,https://www.airbnb.ae/rooms/1115104725532931570?_set_bev_on_new_domain=1758068560_EAMTE0YzhlYzljND&source_impression_id=p3_1758912184_P3UUsJbv_yG-dMiV,Five Palm Jumeirah,2,314700.0,0.74,284,1500.0
1359342153466575023,https://www.airbnb.ae/rooms/1359342153466575023?_set_bev_on_new_domain=1758068560_EAMTE0YzhlYzljND&source_impression_id=p3_1758912192_P32PyD7xvGQWuN0v,Five Palm Jumeirah,1,320600.0,0.61,311,1700.0
1179992235851328216,https://www.airbnb.ae/rooms/1179992235851328216?_set_bev_on_new_domain=1758068560_EAMTE0YzhlYzljND&source_impression_id=p3_1758912203_P3m8k9OQnS-kQuh8,Five Palm Jumeirah,1,325500.0,0.7,365,1300.0
638750245797196461,https://www.airbnb.ae/rooms/638750245797196461?_set_bev_on_new_domain=1758068560_EAMTE0YzhlYzljND&source_impression_id=p3_1758912214_P3T7rc8xkGwGvYpC,Five Palm Jumeirah,2,335600.0,0.8,288,1500.0
735909769812027797,https://www.airbnb.ae/rooms/735909769812027797?_set_bev_on_new_domain=1758068560_EAMTE0YzhlYzljND&source_impression_id=p3_1758912220_P3GGOeSPGkzoxeAT,Five Palm Jumeirah,2,352200.0,0.75,340,1400.0
46759293,https://www.airbnb.ae/rooms/46759293?_set_bev_on_new_domain=1758068560_EAMTE0YzhlYzljND&source_impression_id=p3_1758912346_P353o5wAUQv5R_3t,Five Palm Jumeirah,5,2.0,0.73,277,10000.0
22310925,https://www.airbnb.ae/rooms/22310925?_set_bev_on_new_domain=1758068560_EAMTE0YzhlYzljND&source_impression_id=p3_1758912339_P3kOU5e2EieEnXCo,Five Palm Jumeirah,5,1.6,0.65,284,8800.0
681026428070063125,https://www.airbnb.ae/rooms/681026428070063125?_set_bev_on_new_domain=1758068560_EAMTE0YzhlYzljND&source_impression_id=p3_1758912331_P3qr2PSjQodg7O3S,Five Palm Jumeirah,3,1.1,0.57,272,6900.0
52545922,https://www.airbnb.ae/rooms/52545922?_set_bev_on_new_domain=1758068560_EAMTE0YzhlYzljND&source_impression_id=p3_1758912326_P3jDKxV7AHSAVjIP,Five Palm Jumeirah,3,697700.0,0.55,275,4600.0
581643252219572637,https://www.airbnb.ae/rooms/581643252219572637?_set_bev_on_new_domain=1758068560_EAMTE0YzhlYzljND&source_impression_id=p3_1758912320_P3U5lO0QbLjsTzq8,Five Palm Jumeirah,3,646700.0,0.56,365,3200.0
1066118050572298727,https://www.airbnb.ae/rooms/1066118050572298727?_set_bev_on_new_domain=1758068560_EAMTE0YzhlYzljND&source_impression_id=p3_1758912313_P3YF4SyKyJrWKej5,Five Palm Jumeirah,2,485800.0,0.87,360,1600.0
1288385069716424400,https://www.airbnb.ae/rooms/1288385069716424400?_set_bev_on_new_domain=1758068560_EAMTE0YzhlYzljND&source_impression_id=p3_1758912308_P3WdlTsTNndmVK_l,Five Palm Jumeirah,4,478900.0,0.82,283,2100.0
52382951,https://www.airbnb.ae/rooms/52382951?_set_bev_on_new_domain=1758068560_EAMTE0YzhlYzljND&source_impression_id=p3_1758912298_P3Uh-k-XO9WQapo7,Five Palm Jumeirah,2,445300.0,0.65,365,1900.0
1014894465005034339,https://www.airbnb.ae/rooms/1014894465005034339?_set_bev_on_new_domain=1758068560_EAMTE0YzhlYzljND&source_impression_id=p3_1758912285_P3-1EyLsqbQCj7hJ,Five Palm Jumeirah,3,421600.0,0.49,334,2600.0
695963385836242013,https://www.airbnb.ae/rooms/695963385836242013?_set_bev_on_new_domain=1758068560_EAMTE0YzhlYzljND&source_impression_id=p3_1758912253_P3AdEtMgZ18O2FGj,Five Palm Jumeirah,3,406700.0,0.74,277,2000.0
1120859172830551597,https://www.airbnb.ae/rooms/1120859172830551597?_set_bev_on_new_domain=1758068560_EAMTE0YzhlYzljND&source_impression_id=p3_1758912248_P3dNWxjoRMWk9wF1,Five Palm Jumeirah,2,403100.0,0.85,319,1500.0
842401848124034523,https://www.airbnb.ae/rooms/842401848124034523?_set_bev_on_new_domain=1758068560_EAMTE0YzhlYzljND&source_impression_id=p3_1758912240_P3HcNYTyNhP75yJl,Five Palm Jumeirah,2,393700.0,0.76,362,1400.0
1191740190119636405,https://www.airbnb.ae/rooms/1191740190119636405?_set_bev_on_new_domain=1758068560_EAMTE0YzhlYzljND&source_impression_id=p3_1758912233_P37Cw0JZYSozbvlh,Five Palm Jumeirah,2,388400.0,0.8,291,1700.0
1262380432343192441,https://www.airbnb.ae/rooms/1262380432343192441?_set_bev_on_new_domain=1758068560_EAMTE0YzhlYzljND&source_impression_id=p3_1758913133_P30Zgg2JiQS8AYTk,Five Palm Jumeirah,2,330200.0,0.43,328,2400.0
1197052751999715716,https://www.airbnb.ae/rooms/1197052751999715716?_set_bev_on_new_domain=1758068560_EAMTE0YzhlYzljND&source_impression_id=p3_1758913212_P3ji8o8wOmKRuBFh,The Palm Tower,1,254500.0,0.87,365,800.3
1117918028725679331,https://www.airbnb.ae/rooms/1117918028725679331?_set_bev_on_new_domain=1758068560_EAMTE0YzhlYzljND&source_impression_id=p3_1758913219_P35CifNkCqSK3XCV,The Palm Tower,1,236300.0,0.85,320,868.8
939003319543567962,https://www.airbnb.ae/rooms/939003319543567962?_set_bev_on_new_domain=1758068560_EAMTE0YzhlYzljND&source_impression_id=p3_1758913230_P3NVuMZ_MNE0pOiw,The Palm Tower,0,178300.0,0.82,365,596.3
778020829847475210,https://www.airbnb.ae/rooms/778020829847475210?_set_bev_on_new_domain=1758068560_EAMTE0YzhlYzljND&source_impression_id=p3_1758913236_P39xFgoQrf2OYzuW,The Palm Tower,0,172600.0,0.75,363,634.5
1123611499904999085,https://www.airbnb.ae/rooms/1123611499904999085?_set_bev_on_new_domain=1758068560_EAMTE0YzhlYzljND&source_impression_id=p3_1758913242_P37N0hzvW0kxZCf5,The Palm Tower,0,123700.0,0.68,271,668.7
939015152150916080,https://www.airbnb.ae/rooms/939015152150916080?_set_bev_on_new_domain=1758068560_EAMTE0YzhlYzljND&source_impression_id=p3_1758913251_P3kFV7lyihwiarvI,The Palm Tower,0,117000.0,0.61,279,688.3
791771287657749452,https://www.airbnb.ae/rooms/791771287657749452?_set_bev_on_new_domain=1758068560_EAMTE0YzhlYzljND&source_impression_id=p3_1758913257_P3KTBQ1V5ByFTmX6,The Palm Tower,0,112800.0,0.77,283,514.9
54142780,https://www.airbnb.ae/rooms/54142780?_set_bev_on_new_domain=1758068560_EAMTE0YzhlYzljND&source_impression_id=p3_1758913261_P3RRh9614MF3BzIB,The Palm Tower,0,112000.0,0.64,274,640.2
594007060849991188,https://www.airbnb.ae/rooms/594007060849991188?_set_bev_on_new_domain=1758068560_EAMTE0YzhlYzljND&source_impression_id=p3_1758913266_P3Dos1W_tWXWDXKv,The Palm Tower,0,107400.0,0.46,329,711.4
800420530091204305,https://www.airbnb.ae/rooms/800420530091204305?_set_bev_on_new_domain=1758068560_EAMTE0YzhlYzljND&source_impression_id=p3_1758913725_P36pA0hj0N5HKREE,Marina Residences,3,347300.0,0.65,278,1900.0
1084107669345081411,https://www.airbnb.ae/rooms/1084107669345081411?_set_bev_on_new_domain=1758068560_EAMTE0YzhlYzljND&source_impression_id=p3_1758913763_P3qJje2seUC4OCiB,Marina Residences,2,199500.0,0.66,274,1100.0
1076718389176330262,https://www.airbnb.ae/rooms/1076718389176330262?_set_bev_on_new_domain=1758068560_EAMTE0YzhlYzljND&source_impression_id=p3_1758914222_P3BfQRbkCIifGKmX,Shoreline Apartments,2,96100.0,0.43,276,801.1
43178924,https://www.airbnb.ae/rooms/43178924?_set_bev_on_new_domain=1758068560_EAMTE0YzhlYzljND&source_impression_id=p3_1758914143_P3DEPVQUh5avsAxK,Shoreline Apartments,2,115400.0,0.49,325,730.7
1236716648345759407,https://www.airbnb.ae/rooms/1236716648345759407?_set_bev_on_new_domain=1758068560_EAMTE0YzhlYzljND&source_impression_id=p3_1758914112_P3GkC8i3f3lCNYbO,Shoreline Apartments,3,270300.0,0.82,287,1100.0
1141912360724112181,https://www.airbnb.ae/rooms/1141912360724112181?_set_bev_on_new_domain=1758068560_EAMTE0YzhlYzljND&source_impression_id=p3_1758914122_P3UVAI9b2IOkexOr,Shoreline Apartments,2,150000.0,0.66,315,721.0
1229516091185214739,https://www.airbnb.ae/rooms/1229516091185214739?_set_bev_on_new_domain=1758068560_EAMTE0YzhlYzljND&source_impression_id=p3_1758914080_P3AAoiwOyWDL-ZkD,Shoreline Apartments,4,423400.0,0.8,323,1600.0
1292510482913434173,https://www.airbnb.ae/rooms/1292510482913434173?_set_bev_on_new_domain=1758068560_EAMTE0YzhlYzljND&source_impression_id=p3_1758914089_P3voYnUUlPTfoRt4,Shoreline Apartments,3,309000.0,0.74,282,1500.0
730866684003201325,https://www.airbnb.ae/rooms/730866684003201325?_set_bev_on_new_domain=1758068560_EAMTE0YzhlYzljND&source_impression_id=p3_1758914399_P31Sm9lDpLckqjE6,Palm Views,0,136100.0,0.93,306,479.2
713588301889935944,https://www.airbnb.ae/rooms/713588301889935944?_set_bev_on_new_domain=1758068560_EAMTE0YzhlYzljND&source_impression_id=p3_1758914405_P3cu7c6YNtGTAoxJ,Palm Views,0,127700.0,0.96,292,454.6
690968416794081817,https://www.airbnb.ae/rooms/690968416794081817?_set_bev_on_new_domain=1758068560_EAMTE0YzhlYzljND&source_impression_id=p3_1758914410_P3zYnrv9aQmI8KkK,Palm Views,0,122500.0,0.91,288,467.6
1057811212458830123,https://www.airbnb.ae/rooms/1057811212458830123?_set_bev_on_new_domain=1758068560_EAMTE0YzhlYzljND&source_impression_id=p3_1758914421_P3zXNUco_DbEvNxc,Palm Views,0,113200.0,0.78,306,473.6
962835686234757759,https://www.airbnb.ae/rooms/962835686234757759?_set_bev_on_new_domain=1758068560_EAMTE0YzhlYzljND&source_impression_id=p3_1758914432_P312vyyd3vEEcvxO,Palm Views,0,88600.0,0.72,292,421.9
1249934705644418873,https://www.airbnb.ae/rooms/1249934705644418873?_set_bev_on_new_domain=1758068560_EAMTE0YzhlYzljND&source_impression_id=p3_1758914437_P3C-GRynSrb6YtaH,Palm Views,0,79700.0,0.6,283,466.3
1274653150986975544,https://www.airbnb.ae/rooms/1274653150986975544?_set_bev_on_new_domain=1758068560_EAMTE0YzhlYzljND&source_impression_id=p3_1758914441_P3KLZ7XhrA5VAErW,Palm Views,0,72500.0,0.51,287,493.1
962835686234757759,https://www.airbnb.ae/rooms/962835686234757759?_set_bev_on_new_domain=1758068560_EAMTE0YzhlYzljND&source_impression_id=p3_1758921599_P3rk3Ya-pD4KGoZS,Palm Views,0,88600.0,0.72,292,421.9
1241855145723193243,https://www.airbnb.ae/rooms/1241855145723193243?_set_bev_on_new_domain=1758068560_EAMTE0YzhlYzljND&source_impression_id=p3_1758914635_P3mOB1AlIV3S_HCC,Azure Residences,2,275900.0,0.65,332,1300.0
1167328486176123099,https://www.airbnb.ae/rooms/1167328486176123099?_set_bev_on_new_domain=1758068560_EAMTE0YzhlYzljND&source_impression_id=p3_1758914726_P3aTGFVPG88oPkhU,Club Vista Mare,0,145900.0,0.73,277,722.2
42130852,https://www.airbnb.ae/rooms/42130852?_set_bev_on_new_domain=1758068560_EAMTE0YzhlYzljND&source_impression_id=p3_1758914732_P3YAtByBmTEffE3z,Club Vista Mare,0,115100.0,0.81,291,489.9
1051855196401329440,https://www.airbnb.ae/rooms/1051855196401329440?_set_bev_on_new_domain=1758068560_EAMTE0YzhlYzljND&source_impression_id=p3_1758914736_P3Vg1OPAk8KSqqMG,Club Vista Mare,0,110500.0,0.74,274,544.6
1144972440880912903,https://www.airbnb.ae/rooms/1144972440880912903?_set_bev_on_new_domain=1758068560_EAMTE0YzhlYzljND&source_impression_id=p3_1758917500_P3LgXialQxMdzmzG,Oceana Residences,4,782400.0,0.8,350,2800.0
933013750575713802,https://www.airbnb.ae/rooms/933013750575713802?_set_bev_on_new_domain=1758068560_EAMTE0YzhlYzljND&source_impression_id=p3_1758917503_P3uHDIVedY00RRni,Oceana Residences,4,496700.0,0.74,317,2100.0
1151371474689072305,https://www.airbnb.ae/rooms/1151371474689072305?_set_bev_on_new_domain=1758068560_EAMTE0YzhlYzljND&source_impression_id=p3_1758917508_P36fdcvvCgVnduNA,Oceana Residences,3,315900.0,0.77,338,1200.0
866475645650963424,https://www.airbnb.ae/rooms/866475645650963424?_set_bev_on_new_domain=1758068560_EAMTE0YzhlYzljND&source_impression_id=p3_1758917513_P3DQIBK95k9r82KG,Oceana Residences,2,301300.0,0.86,295,1200.0
811306449705994511,https://www.airbnb.ae/rooms/811306449705994511?_set_bev_on_new_domain=1758068560_EAMTE0YzhlYzljND&source_impression_id=p3_1758917520_P3vSm-TECaMYHhM8,Oceana Residences,1,228300.0,0.67,277,1200.0
810637517801962053,https://www.airbnb.ae/rooms/810637517801962053?_set_bev_on_new_domain=1758068560_EAMTE0YzhlYzljND&source_impression_id=p3_1758917527_P3pO34giPv6cya_K,Oceana Residences,1,207400.0,0.83,338,737.9
800420530091204305,https://www.airbnb.ae/rooms/800420530091204305?_set_bev_on_new_domain=1758068560_EAMTE0YzhlYzljND&source_impression_id=p3_1758917737_P3v_d3g5liisDD_t&modal=DESCRIPTION,Tiara Residences,3,347300.0,0.65,278,1900.0
917825195892514686,https://www.airbnb.ae/rooms/917825195892514686?_set_bev_on_new_domain=1758068560_EAMTE0YzhlYzljND&source_impression_id=p3_1758917747_P3zV47pb-aDIc61O,Tiara Residences,2,236700.0,0.75,310,1000.0
995513022922290042,https://www.airbnb.ae/rooms/995513022922290042?_set_bev_on_new_domain=1758068560_EAMTE0YzhlYzljND&source_impression_id=p3_1758917752_P3NM50lWtH2yryiM,Tiara Residences,1,201500.0,0.83,321,754.5
780924096336537948,https://www.airbnb.ae/rooms/780924096336537948?_set_bev_on_new_domain=1758068560_EAMTE0YzhlYzljND&source_impression_id=p3_1758917759_P3smXIYsOk8ZyvA1,Tiara Residences,2,195300.0,0.58,315,1100.0
696842221023998510,https://www.airbnb.ae/rooms/696842221023998510?_set_bev_on_new_domain=1758068560_EAMTE0YzhlYzljND&source_impression_id=p3_1758917773_P31dKobaXW7zti7G,Tiara Residences,1,130699.99999999999,0.64,307,670.0
43120272,https://www.airbnb.ae/rooms/43120272?_set_bev_on_new_domain=1758068560_EAMTE0YzhlYzljND&source_impression_id=p3_1758918111_P3oNAwfknOSkQ3mw,Sarai Apartments,3,435300.0,0.82,284,1900.0
1135312640670479657,https://www.airbnb.ae/rooms/1135312640670479657?_set_bev_on_new_domain=1758068560_EAMTE0YzhlYzljND&source_impression_id=p3_1758918601_P3GFlRPW6rXf_XWq,Azizi Mina,2,246900.0,0.77,365,878.5
1267348887079038715,https://www.airbnb.ae/rooms/1267348887079038715?_set_bev_on_new_domain=1758068560_EAMTE0YzhlYzljND&source_impression_id=p3_1758918730_P3AJ3mjKcdEADou3,Azizi Mina,1,237000.0,0.8,298,996.0
53034518,https://www.airbnb.ae/rooms/53034518?_set_bev_on_new_domain=1758068560_EAMTE0YzhlYzljND&source_impression_id=p3_1758921448_P3AP3hEgxRwrIcSK,Azizi Mina,1,147600.0,0.72,365,565.7
1294100010850824551,https://www.airbnb.ae/rooms/1294100010850824551?_set_bev_on_new_domain=1758068560_EAMTE0YzhlYzljND&source_impression_id=p3_1758921509_P3v0DPYj4mn4FJkr,Azizi Mina,1,140100.0,0.68,274,757.5
1128726195156061931,https://www.airbnb.ae/rooms/1128726195156061931?_set_bev_on_new_domain=1758068560_EAMTE0YzhlYzljND&source_impression_id=p3_1758924168_P3tLvYQdlumrxQoR,The Royal Amwaj,2,309900.0,0.85,365,993.3
912017785656694597,https://www.airbnb.ae/rooms/912017785656694597?_set_bev_on_new_domain=1758068560_EAMTE0YzhlYzljND&source_impression_id=p3_1758924183_P3sT0GyVvpO1FY63,The Royal Amwaj,2,285200.0,0.54,276,1900.0
1194070207420505171,https://www.airbnb.ae/rooms/1194070207420505171?_set_bev_on_new_domain=1758068560_EAMTE0YzhlYzljND&source_impression_id=p3_1758924220_P3juyMpO-5jBYdO5,The Royal Amwaj,1,253900.0,0.87,357,819.0
